id, x, y, freq, label
286, -10.172168, -60.490585, 34, plot
287, -13.228941, -57.791359, 42, details
288, -6.297662, -63.932976, 28, gender
289, -5.127386, 0.802351, 100, living
290, -2.219137, 55.998817, 8, simultaneously
291, 59.809559, 1.508788, 6, midwestern
292, -41.559231, 33.137791, 8, raucous
293, -56.746727, -3.855345, 14, embrace
294, 16.346897, 52.529526, 4, alaskan
295, -55.468887, 5.641465, 12, inspired
296, -42.416004, -48.821541, 22, natural
297, -6.111767, 4.429968, 222, instead
298, -43.285740, -40.463421, 28, research
299, -0.065030, 0.207542, 136, took
300, -1.048101, -2.493933, 144, almost
301, 8.191155, 1.330599, 92, ten
302, 10.417730, 3.976712, 548, years
303, 8.016237, -22.168613, 62, learned
304, 10.863838, -23.500807, 72, look
305, -55.260620, 26.036919, 16, buried
306, -15.694188, -17.959320, 248, county
307, -6.587025, -29.759695, 84, federal
308, -13.437144, -19.277880, 56, archives
309, 4.342218, -36.786198, 62, read
310, -12.674421, -16.716900, 106, records
311, -26.725424, -52.306175, 32, lobotomies
312, -60.428986, 20.489540, 16, performed
313, -45.608158, -46.045959, 32, hospitals
314, 6.544554, -40.085949, 38, key
315, 31.480650, 38.366829, 10, disappeared
316, -38.123264, -39.044342, 28, scene
317, -4.418507, 6.369639, 142, sometimes
318, -17.811550, -2.752110, 440, told
319, -3.582780, -6.274248, 116, sent
320, -34.643837, 23.593544, 14, video
321, 2.107332, 29.896870, 12, cameras
322, -3.818970, -32.222107, 52, record
323, -14.596753, -48.938911, 52, interviews
324, 9.253801, 2.223876, 246, old
325, -2.843793, 5.909935, 216, young
326, -33.494743, 53.360439, 14, brand
327, -4.883168, -48.399883, 50, queer
328, -2.801750, 1.565943, 100, side
329, -20.678898, -0.372150, 358, northwest
330, -54.169804, -20.969374, 30, happy
331, -1.655244, -2.037533, 82, past
332, 6.740946, -25.341871, 74, decade
333, -6.675637, 4.566547, 226, since
334, -12.023180, -13.901620, 170, book
335, -12.664860, -1.466799, 350, well
336, -5.542916, -47.218811, 56, received
337, -67.058052, -13.463904, 22, collected
338, -4.067600, -3.444930, 164, several
339, -11.967592, 44.218170, 12, awards
340, -10.359872, 7.859936, 268, among
341, -20.409918, -56.364601, 28, award
342, -5.371862, -6.298454, 384, called
343, -57.151775, -41.043938, 24, importance
344, -59.980156, -26.098391, 22, subject
345, 46.152161, -52.554531, 6, quality
346, -12.998381, -1.348458, 936, also
347, -8.547324, -0.379959, 180, good
348, -45.283302, -27.027718, 20, share
349, -46.022747, -39.493919, 26, critical
350, -13.624382, 47.945076, 10, praise
351, 46.401768, 35.252003, 6, journalists
352, -61.440590, -17.622660, 16, academic
353, -28.833971, 50.339355, 16, admit
354, 0.829960, 1.699758, 166, though
355, 9.069444, -33.359238, 60, join
356, 44.630157, -3.933316, 6, shelves
357, 34.063374, 42.765594, 8, wished
358, 12.376411, 57.887241, 4, mobile
359, -6.494428, -0.746483, 144, kind
360, 1.336960, 8.398827, 986, could
361, -23.786671, -62.494225, 34, easily
362, -53.112213, 9.796071, 14, carry
363, 38.090267, -11.236124, 6, bend
364, -55.593071, -31.563255, 28, feeling
365, -2.814956, -59.435062, 42, guilty
366, 55.280251, -13.340485, 4, x
367, -1.619304, -7.575841, 186, decided
368, -10.257872, -2.502337, 134, issue
369, 45.548840, -53.813313, 6, edi
370, 3.636789, -7.869834, 96, tion
371, 1.323176, -28.882957, 64, original
372, -46.250530, -26.435278, 30, bring
373, 9.986136, 3.027761, 50, twenty
374, -3.201222, -9.497255, 100, century
375, 4.944971, -18.000977, 62, whose
376, -15.763519, -15.161729, 100, libraries
377, 50.768002, 13.035900, 10, smart
378, 3.016999, -49.288723, 50, phone
379, 46.745167, -52.650936, 6, device
380, -2.114176, -48.733109, 36, intended
381, 43.413326, 17.953358, 8, revision
382, 37.747200, 18.960772, 8, expansion
383, 8.028924, -14.856817, 82, great
384, -37.349075, 15.426435, 16, detail
385, 5.766344, -10.098114, 118, happened
386, -48.346458, 23.400225, 16, fill
387, 1.469448, 5.375844, 420, still
388, 42.085121, -38.820736, 6, pressing
389, -8.466869, -50.134285, 38, needs
390, 29.877485, 33.672710, 12, rich
391, 38.245918, -33.755421, 6, transgender
392, -10.228773, 0.059594, 274, example
393, 41.717358, -48.795284, 6, tasks
394, 4.738345, -6.186787, 96, better
395, -4.811975, 3.716196, 198, left
396, -56.633652, -13.440925, 22, entirely
397, 0.062431, -31.310686, 52, books
398, 8.220532, -33.192955, 46, types
399, -2.265664, -21.791845, 100, media
400, 50.865662, -24.865257, 6, platforms
401, -1.218962, -9.085314, 78, however
402, 1.574773, -5.939780, 154, want
403, 40.280663, -35.839291, 6, update
404, 7.290809, -45.820946, 62, ways
405, -54.706150, -22.283012, 18, saga
406, -3.373151, 51.296734, 10, unfolded
407, -7.271511, -55.235104, 50, closed
408, 3.930125, -33.574783, 12, mid
409, 4.751603, -17.119480, 90, november
410, 46.134632, -4.047003, 8, determining
411, -29.763723, 35.060658, 16, fate
412, 8.595445, -19.778669, 58, referendum
413, -0.696622, -5.274249, 182, vote
414, -58.725391, 10.940051, 26, decide
415, 0.370032, 7.624242, 204, whether
416, -30.741802, -56.155697, 32, adults
417, -1.250760, -26.344435, 58, equal
418, -16.181681, -8.698756, 322, civil
419, -3.246932, 3.837609, 188, right
420, -57.922653, -18.406471, 28, marry
421, 9.055733, -17.008698, 58, per
422, 4.940433, -50.008045, 40, son
423, 5.118702, -3.505865, 104, love
424, -13.131762, -17.038967, 106, legislature
425, -44.153427, -44.048828, 26, approved
426, 6.996860, -22.568880, 86, idea
427, 1.391146, -28.940907, 66, voters
428, -23.532600, -61.917324, 28, chance
429, -4.029848, 0.533520, 164, although
430, 8.969527, 1.822373, 86, six
431, -15.092753, -16.016756, 186, district
432, -41.130062, -12.422740, 20, columbia
433, 1.423072, 7.944266, 490, sex
434, -14.509880, -10.471526, 224, marriage
435, 1.249473, -44.475964, 40, courts
436, 55.334831, -14.273979, 18, legislatures
437, 0.246558, 2.758461, 310, made
438, -54.905746, -41.279350, 24, decisions
439, 3.895396, -0.041572, 572, time
440, -2.281533, -47.870964, 34, direct
441, 42.093826, 38.064747, 6, majorities
442, -39.221794, -56.547947, 26, rejected
443, -8.893253, -53.820076, 40, marriages
444, -28.269175, -54.187660, 28, respect
445, -31.110243, -61.322556, 36, situation
446, -3.791971, 3.053191, 220, end
447, -36.979412, -52.354053, 22, sim
448, 19.967150, 59.038773, 8, ilar
449, -61.414883, 0.033242, 20, encountered
450, 8.575393, 1.741993, 144, earlier
451, 13.768299, 47.042931, 14, outcome
452, -15.030154, -2.200232, 16, anti
453, -12.517559, -2.718948, 270, council
454, -4.207705, -9.005498, 122, decision
455, -68.848213, -14.541372, 24, add
456, -0.476513, -40.590477, 86, orientation
457, -41.881065, 18.486446, 24, discriminated
458, -13.245804, -9.065030, 126, housing
459, -40.084984, -57.264935, 36, employment
460, -7.810802, -13.430835, 102, across
461, 8.151840, -21.681141, 58, country
462, 4.509944, -24.357908, 74, opponents
463, -44.381546, -23.208138, 28, protections
464, -12.245949, 8.258902, 0, lesbians
465, -47.333755, -24.864601, 24, successfully
466, -2.659569, -1.806276, 140, every
467, -3.277300, -50.794998, 50, similar
468, -16.190525, -0.059532, 234, story
469, -8.143970, -5.271481, 366, became
470, 7.726892, -44.426388, 54, cities
471, -44.444336, -21.316536, 30, retain
472, -61.146999, -10.940683, 14, breaking
473, -9.010544, -50.590481, 36, opposition
474, 1.842280, -19.823162, 142, chapter
475, 8.624578, -19.605520, 86, majority
476, 10.119470, -39.171318, 42, upon
477, -1.088196, -26.639866, 86, minority
478, 7.161912, -5.891229, 106, course
479, -6.021811, -3.011606, 120, especially
480, -36.559158, -54.630676, 24, deeply
481, -45.441471, -46.500675, 20, trained
482, 5.577674, -5.398917, 118, particular
483, -13.430297, -19.034952, 68, historical
484, -5.128696, -62.638062, 30, cultural
485, -18.180317, 0.338530, 818, see
486, 57.372520, -21.965677, 8, possibilities
487, -1.210839, 8.953957, 372, way
488, -65.493080, -10.808110, 22, possibility
489, -2.781092, 2.115116, 98, meant
490, 7.542950, -20.074471, 68, raised
491, 9.671935, 1.101850, 122, days
492, -0.806980, -56.755257, 54, brought
493, 7.388131, -41.046520, 54, mind
494, -9.847566, -59.635471, 32, movie
495, 0.942517, 5.229008, 234, help
496, 45.526150, 24.303226, 6, academy
497, 5.518896, -7.335278, 112, best
498, -35.858799, 27.139444, 22, picture
499, 8.969582, -31.339016, 68, focused
500, 29.613194, 4.108783, 10, tional
501, -5.993876, 3.655901, 100, white
502, 43.801525, 0.038631, 8, bridge
503, -5.868479, 2.277246, 118, club
504, -21.524124, -64.162811, 36, planning
505, 9.114728, -33.038025, 64, families
506, -15.233909, -64.196205, 56, african
507, 63.456306, -16.085409, 8, maids
508, 9.485572, -34.588654, 66, provided
509, 8.222116, -30.613834, 84, outside
510, 51.192051, 30.741894, 10, toilets
511, -10.581485, -0.816246, 92, black
512, -53.206169, -32.318188, 24, banned
513, 6.799337, -7.409419, 104, inside
514, 16.620050, 50.225300, 10, whites
515, 3.976549, 0.006154, 176, woman
516, -32.679859, -46.020519, 28, promoting
517, -51.725113, -47.724316, 24, character
518, -4.403977, -6.998178, 220, named
519, -52.594967, 23.774258, 14, feared
520, -2.527545, -57.890839, 30, allowing
521, -3.251851, 1.900749, 126, use
522, 48.768394, 31.602655, 8, threaten
523, -9.209100, -54.436371, 52, identity
524, -13.950778, -17.731649, 72, superior
525, -28.286623, 55.507225, 14, solution
526, 9.462928, -41.864376, 58, separate
527, 2.492632, -55.781887, 42, supposedly
528, 2.723237, 5.143413, 186, really
529, -38.351761, -60.601017, 36, notion
530, -25.190712, 46.533421, 14, track
531, -52.287674, 1.490532, 12, related
532, -12.161977, -2.853936, 246, early
533, -19.428545, -1.065195, 260, activists
534, -47.214581, 4.457620, 20, supportive
535, -42.652336, -22.999460, 44, legislator
536, -40.946640, -10.719404, 22, pete
537, -6.653581, -30.526676, 80, francis
538, -59.215954, -3.352735, 20, realized
539, 3.641787, -5.629871, 114, actually
540, 12.754619, 40.762074, 16, define
541, 4.380728, 0.101646, 390, man
542, 1.671914, -29.057461, 58, referred
543, 7.401595, -16.728643, 60, persons
544, 10.350162, 1.217043, 122, age
545, -7.464154, -65.321075, 34, otherwise
546, 59.612495, -25.009550, 6, capable
547, -63.060196, -15.252538, 16, assumed
548, 10.635352, -23.402138, 78, involved
549, 6.143093, -7.445410, 92, must
550, -1.779931, -14.245885, 68, jack
551, 25.250334, 19.641281, 10, jill
552, -2.110507, -22.022385, 104, activist
553, 2.270717, -2.937438, 112, taken
554, -4.568298, 1.048851, 162, name
555, -23.856438, -59.562950, 48, singer
556, 47.124084, 36.967674, 12, promptly
557, -7.636274, -33.252167, 58, filed
558, -3.910516, -29.115858, 92, license
559, 5.795169, -25.194521, 106, friend
560, -2.889498, -7.246129, 86, paul
561, 6.440918, -36.919701, 64, barwick
562, -44.502613, -23.417938, 26, basic
563, -5.017730, -57.846336, 40, message
564, 8.784141, 2.945567, 162, four
565, -35.043072, -57.431038, 32, subsequent
566, -12.668192, 7.724694, 866, men
567, 2.782695, -2.535808, 86, showed
568, -14.034759, 57.732224, 12, inevitable
569, 50.513855, 1.890637, 4, rejection
570, -49.891777, -21.554001, 28, clerk
571, 0.559092, 6.081603, 196, simply
572, -7.731452, -19.099510, 92, human
573, 56.527760, -1.515674, 6, beings
574, -45.886368, -50.237526, 34, happen
575, 3.008408, 3.792692, 274, get
576, -12.298299, -59.429451, 56, married
577, -14.457332, -59.757835, 42, denied
578, -51.688198, -44.995964, 18, sued
579, 39.142792, -58.280682, 6, wiggle
580, -15.967793, -17.613007, 432, court
581, -38.880589, -16.791512, 32, appeals
582, -30.873734, 53.033791, 14, construct
583, -49.186932, -43.661808, 30, defined
584, -67.364937, -14.784584, 22, procreation
585, -0.021891, 3.780750, 136, children
586, -3.161993, 3.017156, 148, added
587, -45.407768, -31.956438, 30, prohibition
588, -6.479181, -51.535652, 42, couples
589, -44.760967, -47.929966, 32, results
590, -10.816344, 63.218304, 12, logic
591, -0.218805, 2.756027, 126, perhaps
592, -38.367645, -51.471718, 22, eighteenth
593, -45.518948, -44.960697, 10, nineteenth
594, -62.299576, -28.630381, 26, forms
595, -40.799854, 35.385284, 8, arranged
596, -4.095971, -9.803183, 90, control
597, -20.929455, -63.494205, 32, property
598, -54.833714, -36.383820, 28, replaced
599, -57.139233, 8.375784, 14, twentieth
600, -59.443417, -2.717435, 14, ideal
601, -58.626865, -9.669024, 16, emphasized
602, -2.707463, -58.953941, 36, romantic
603, 2.593352, 6.656173, 612, people
604, 58.552853, 11.009502, 6, regard
605, 0.984073, 41.769176, 12, afterward
606, -30.756620, 57.779312, 20, journey
607, 6.975182, -5.787808, 84, toward
608, 42.049774, -38.237450, 10, accommodations
609, -2.002192, -23.554504, 88, openly
610, 3.579823, 6.881200, 530, like
611, 3.585696, -3.982602, 106, everyone
612, 10.720012, -39.076336, 54, else
613, 10.458896, -23.450729, 98, care
614, -55.527409, -42.562138, 44, build
615, -13.159815, -1.630374, 180, groups
616, 33.946648, 31.670399, 10, isolation
617, 8.445884, -30.438223, 82, create
618, -1.030802, -23.421301, 64, businesses
619, 43.152287, 40.023602, 10, cope
620, -2.190376, 2.304148, 210, change
621, 52.793804, -26.075659, 6, minds
622, 1.021810, -10.842788, 84, churches
623, -5.125890, -57.515102, 36, cast
624, -57.377899, 14.437156, 12, aside
625, -42.193504, -54.277256, 34, seek
626, 1.652826, -41.145458, 38, equality
627, -44.331833, -21.535719, 22, nation
628, 1.813605, -6.696728, 80, military
629, -9.429039, 7.797660, 314, many
630, 1.819399, 6.714052, 678, even
631, 9.048845, -26.281368, 86, quite
632, 39.059826, -17.361946, 4, individually
633, 1.270805, -17.595592, 70, individual
634, -0.737064, -5.057408, 144, job
635, -3.095939, 3.480248, 114, able
636, -51.386848, -9.017371, 32, rent
637, -52.816719, -37.892765, 32, apartment
638, 44.571911, 37.704891, 10, needing
639, -55.056965, 6.580691, 16, access
640, 31.404686, 36.894848, 12, recognition
641, 46.363655, -46.365845, 6, rela
642, 2.936998, 6.622988, 454, another
643, 1.777025, -39.546188, 60, matter
644, 6.939673, -7.073174, 142, something
645, -65.080627, -19.583687, 18, reminded
646, -8.221110, -15.421290, 138, passed
647, 1.586980, -48.408058, 44, defense
648, 3.295752, -8.792321, 138, put
649, 32.537125, 29.230490, 10, dictated
650, -4.661287, -1.193903, 106, turn
651, -16.772306, -0.495782, 122, progress
652, -11.188549, -3.113199, 164, begun
653, 6.191946, -6.003704, 94, feel
654, -0.147365, -30.420338, 50, supported
655, -1.582950, 8.645349, 182, heterosexual
656, 6.431872, -7.230483, 114, friends
657, -55.050121, -41.201042, 26, accepted
658, -1.608602, 4.528663, 144, within
659, 9.843674, -15.363597, 70, kept
660, -2.141883, 7.691725, 222, family
661, -44.571323, -28.592377, 36, acceptance
662, 2.943869, -41.227242, 54, significant
663, -2.698319, 7.398360, 304, seemed
664, -20.051449, -66.114227, 72, ones
665, -3.938155, 6.452987, 160, often
666, -1.105717, -9.427248, 72, fear
667, -2.460758, -58.136391, 42, partners
668, 2.647683, 5.383216, 334, wanted
669, 58.653748, 8.292318, 6, household
670, -30.438799, -42.745766, 36, organizers
671, 43.874435, 0.046237, 10, commented
672, -1.508925, 4.325331, 192, never
673, -6.849798, -54.428127, 60, heard
674, 4.076488, -10.619698, 92, mother
675, 38.283051, 23.244371, 10, grasp
676, 31.468534, 28.487967, 12, concept
677, 5.667823, -24.198689, 64, strong
678, -22.323887, -62.005524, 40, sat
679, -45.892002, 17.664896, 14, completely
680, -48.182171, 4.839857, 14, powerfully
681, 3.090798, -1.289430, 288, came
682, -45.575363, -43.107990, 24, sandra
683, 10.691241, -19.939365, 64, schuster
684, -37.788403, -42.401005, 30, madeleine
685, -45.857517, -37.318764, 26, quest
686, 3.069206, 1.863973, 108, person
687, -17.913616, -64.179619, 42, choice
688, -1.870410, -1.416705, 222, found
689, 6.505641, -23.078369, 78, run
690, -15.443815, -57.910553, 32, psychiatrist
691, -64.313477, -20.121279, 18, visits
692, 1.043596, -10.135087, 76, religious
693, 48.824753, 14.232639, 8, tests
